0,0,0,2,0,0

2,0,0,5,20,20

2,0,0,4,40,40

5,0,0,2,-40,0

1,0,0,6,0,20,0,0,0

6,0,0,3,0,-20,4,0,20

6,0,0,7,20,60,1,0,20

1,0,0,6,0,20,2,0,0

5,0,0,6,0,0,7,0,0

4,0,0,0,0,0,5,0,0

5,0,0,2,-40,0,0,0,0

6,0,0,7,-20,-20,3,40,-20

4,0,0,5,0,0,2,0,0

6,0,0,3,-20,-20,2,20,-20

5,0,0,2,40,0,1,40,0

6,0,0,0,0,0,5,0,0

6,0,0,3,0,-20,2,0,-20

6,0,0,5,0,-20,0,40,-20

6,0,0,7,-20,-20,1,0,-20

6,0,0,5,-20,20,0,20,20

6,0,0,5,0,-20,0,0,-20

6,0,0,2,0,-20,1,0,-20

7,0,0,2,-20,0,3,20,0

5,0,0,4,40,0,1,40,0

6,0,0,3,-60,-20,2,-80,-20

5,0,0,2,40,0,0,40,0

5,0,0,0,-20,0,6,0,0

6,0,0,3,0,-20,1,0,-20

5,0,0,0,-40,0,2,0,0

5,0,0,0,-40,0,2,-40,0

6,0,0,7,-20,20,1,0,20,4,0,20

5,0,0,6,0,20,1,0,0,0,0,0

5,0,0,6,0,20,3,40,0,7,-20,0

4,0,0,0,-40,0,2,0,0,6,-80,20

4,0,0,5,20,-20,1,0,0,2,0,0

4,0,0,0,-20,20,1,0,0,6,-20,40

5,0,0,2,40,-40,1,40,0,4,0,0

6,0,0,2,0,-20,1,0,-20,5,-40,-20

0,0,0,1,0,0,5,40,0,6,0,20

6,0,0,7,20,20,3,60,20,1,-20,20

6,0,0,2,-40,20,1,0,20,0,-40,20

6,0,0,5,0,-20,3,40,-20,7,-20,-20

2,0,0,5,40,0,0,80,0,4,0,0

5,0,0,6,0,20,2,40,0,3,-40,0

5,0,0,0,0,0,6,40,0,2,-40,0

6,0,0,5,40,-20,0,40,-20,4,0,-20

6,0,0,1,0,20,0,40,20,4,40,20

6,0,0,5,0,-20,0,40,-20,2,-40,-20

7,0,0,3,20,0,2,60,0,5,20,0

6,0,0,5,0,-20,0,40,-20,4,40,-20

7,0,0,6,-40,20,2,0,0,3,-20,0

6,0,0,1,-40,20,4,40,20,7,0,20

6,0,0,5,20,0,0,40,0,1,-40,0

6,0,0,3,20,0,2,20,0,1,-60,0

5,0,0,1,40,0,0,60,0,7,0,0

6,0,0,5,-40,-20,1,0,-20,0,-40,-20

5,0,0,2,-40,0,6,40,0,7,20,20

6,0,0,0,0,-20,1,40,-60,5,20,-40

6,0,0,7,-20,-20,3,40,-20,1,-40,0

4,0,0,5,0,20,6,0,-20,2,0,0

6,0,0,0,0,0,5,40,0,4,0,20

6,0,0,5,-20,-40,1,0,-20,0,0,-20

2,0,0,6,0,-20,5,-20,-20,0,0,0

5,0,0,1,-40,0,0,40,0,6,-40,-20

7,0,0,2,-60,0,1,-20,0,0,-60,0

5,0,0,0,0,-20,1,0,-40,2,0,-40

5,0,0,2,-40,0,6,0,0,7,-20,0

5,0,0,4,0,-40,0,20,-60,6,20,-40

6,0,0,0,-20,-20,7,20,-20,3,-20,-20

5,0,0,0,0,0,4,40,0,1,-40,0

6,0,0,5,-20,-20,2,0,-20,3,0,-20

5,0,0,4,20,20,0,60,20,1,-20,20

6,0,0,5,-40,20,0,0,20,2,0,20

5,0,0,2,-20,20,0,-20,20

6,0,0,3,0,20,2,0,20,0,0,20

6,0,0,7,-20,20,0,20,0,5,0,20

7,0,0,3,-20,-20,2,0,-20,1,-40,0

6,0,0,5,-20,0,1,20,0,4,20,0

6,0,0,3,20,20,1,20,20,0,0,20

